ip.src,ip.dst,eth.src,eth.dst,frame.len,frame.time_epoch,relative_time
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,66,1681750617.234458,6823.132648944855
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,66,1681750617.234473,6823.132663965225
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,66,1681750617.234483,6823.1326739788055
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,66,1681750617.234494,6823.13268494606
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,66,1681750617.234503,6823.132694005966
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,66,1681750617.234512,6823.132703065872
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,109,1681750617.234523,6823.132714033127
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681750617.234714,6823.132905006409
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681750617.234762,6823.132952928543
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681750617.234804,6823.132994890213
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681750617.23482,6823.133010864258
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,109,1681750617.23489,6823.13308095932
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750617.29074,6823.188930988312
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681750617.290741,6823.188931941986
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,66,1681750617.290741,6823.188931941986
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,124,1681750618.572247,6824.47043800354
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750618.57231,6824.470500946045
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,83,1681750618.572506,6824.470696926117
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,124,1681750619.491026,6825.389216899872
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681750619.491129,6825.389319896698
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,83,1681750619.49121,6825.389400959015
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,124,1681750623.87323,6829.771420955658
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,66,1681750623.873329,6829.771519899368
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,83,1681750623.873354,6829.771544933319
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,124,1681750625.139828,6831.038018941879
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,66,1681750625.140184,6831.038374900818
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,83,1681750625.140216,6831.038407087326
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,124,1681750625.440739,6831.338929891586
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,66,1681750625.441002,6831.339192867279
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,83,1681750625.440884,6831.339075088501
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,66,1681750625.442174,6831.340364933014
